sid	UMAP-1	UMAP-2
P085-Ctrl-C2-V5	-1.9080563	3.6591656
P086-Case-C0-V1	0.17341968	5.3520565
P086-Case-C0-V2	-0.0055952636	4.9741845
P086-Case-C0-V3	0.15852873	4.810231
P086-Case-C0-V4	0.1392964	4.8057156
P087-Ctrl-C0-V4	-1.2247224	3.8271005
P087-Ctrl-C2-V1	-2.370096	3.7445612
P087-Ctrl-C2-V3	-1.8997241	3.578442
P087-Ctrl-C2-V5	-1.8861748	3.6357858
P088-Case-C0-V1	0.4279623	5.1835165
P088-Case-C0-V2	0.71803325	5.260329
P088-Case-C0-V3	0.8303631	5.5414333
P088-Case-C0-V4	0.6079075	5.4233007
P089-Case-C0-V1	0.38219878	6.4497595
P089-Case-C0-V2	0.95733947	7.201626
P089-Case-C0-V3	-0.09605364	7.792054
P089-Case-C0-V4	0.7699708	6.9130816
P090-Case-C0-V1	0.22727236	6.249829
P090-Case-C0-V2	0.8385161	7.880805
P090-Case-C0-V3	-0.30733323	5.9792557
P090-Case-C0-V4	0.4546688	6.6905084
P091-Ctrl-C2-V1	-2.4892147	5.005918
P091-Ctrl-C2-V3	-4.9337125	5.141927
P092-Case-C1-V1	0.38313532	2.6344125
P092-Case-C1-V2	0.5848269	2.6580882
P092-Case-C1-V3	0.3896174	2.7037122
P092-Case-C1-V4	0.62137216	3.6490753
P093-Ctrl-C2-V1	-3.7591755	4.5037065
P093-Ctrl-C2-V3	-3.7964478	4.490597
P093-Ctrl-C2-V4	-3.6962645	4.44288
P093-Ctrl-C2-V5	-3.807322	4.507205
P094-Case-C0-V1	0.028937297	7.9659524
P094-Case-C0-V2	0.26619926	7.953733
P094-Case-C0-V3	-0.07655433	7.9397464
P094-Case-C0-V4	0.33315918	7.8636546
P095-Case-C1-V1	1.1403022	2.5720682
P095-Case-C1-V2	0.72833943	3.2550714
P096-Case-C0-V1	1.7069825	6.1036897
P096-Case-C0-V2	1.7213703	6.0187564
P096-Case-C0-V3	1.7731197	6.018037
P096-Case-C0-V4	1.7070168	6.0068717
P097-Case-C0-V1	0.5203408	7.9342566
P097-Case-C0-V2	0.64827144	7.9418936
P097-Case-C0-V3	0.69669724	8.0571575
P097-Case-C0-V4	0.7983963	8.007693
P098-Ctrl-C2-V1	-1.8949231	5.6198254
P099-Ctrl-C2-V1	-3.795933	5.66318
P099-Ctrl-C2-V3	-4.9461145	5.1392527
P100-Ctrl-C2-V1	-2.859645	4.858839
P100-Ctrl-C2-V3	-4.755515	4.9553504
P101-Case-C2-V1	-2.2730513	6.047387
P101-Case-C2-V2	-2.5092063	6.244355
P101-Case-C2-V3	-2.1568067	6.075062
P101-Case-C2-V4	-2.5592818	6.210717
P102-Case-C0-V1	-0.72639	5.049318
P102-Case-C0-V2	-1.1884462	5.1162195
P102-Case-C2-V3	-2.6775453	4.8393445
P102-Case-C2-V4	-2.9186485	4.7210054
P103-Case-C1-V1	0.4344886	2.8651953
P103-Case-C1-V2	0.2889042	2.8247995
P103-Case-C1-V3	0.5669667	2.6966312
P103-Case-C1-V4	0.289225	3.675994
P104-Case-C0-V1	1.4303017	5.94175
P104-Case-C0-V2	-0.32714382	5.3467975
P104-Case-C0-V3	-1.4500911	5.36564
P104-Case-C0-V4	-0.18559532	5.653861
P105-Case-C0-V1	-0.5024629	5.443328
P105-Case-C0-V2	1.5494788	7.7373986
P106-Case-C0-V1	0.6579963	7.231539
P106-Case-C0-V2	0.46349442	7.3387656
P106-Case-C0-V3	-1.0759691	6.066565
P107-Ctrl-C2-V1	-3.257321	4.829538
P107-Ctrl-C2-V3	-3.228671	4.886645
P107-Ctrl-C2-V4	-3.2522078	4.8194366
P108-Case-C1-V1	0.7501897	2.5895429
P108-Case-C1-V2	1.6049492	2.2133512
P109-Case-C0-V1	1.6389309	7.0112433
P109-Case-C0-V2	1.6605494	7.466324
P109-Case-C0-V3	1.658985	6.9215245
P109-Case-C0-V4	1.6752193	7.3805404
P110-Ctrl-C2-V1	-4.111186	4.674729
P111-Case-C0-V1	0.55686474	5.860799
P111-Case-C0-V2	-0.5745706	4.7283015
P112-Case-C0-V2	-0.31454805	5.271118
P112-Case-C0-V4	-0.17887862	5.514337
P112-Case-C2-V1	-1.3606715	4.9673395
P112-Case-C2-V3	-2.0452654	4.4958234
P113-Case-C0-V1	1.8417574	5.2548866
P113-Case-C0-V2	1.6399266	5.3105063
P113-Case-C0-V3	1.7379718	5.3448973
P113-Case-C0-V4	1.5093405	5.2541137
P114-Case-C0-V1	-0.37778285	7.1354494
P114-Case-C0-V2	-0.20278125	7.288008
P115-Ctrl-C2-V1	-4.6261835	5.0883846
P115-Ctrl-C2-V3	-4.7513657	4.988667
P116-Case-C2-V1	-4.20519	6.9021063
P116-Case-C2-V2	-4.1089168	6.88381
P116-Case-C2-V3	-4.215617	6.858104
P116-Case-C2-V4	-4.0429764	6.9996552
P117-Ctrl-C2-V1	-3.6993692	5.726797
P117-Ctrl-C2-V3	-3.387659	5.769737
